"№","Наименование","Ед. изм.","Сухие в-ва","Калорийность"
"1","Абрикос консервированный","кг","23.8","86"
"2","Абрикосы","кг","14","40.5"
"3","Абсент","л","72","140"
"4","Авокадо","кг","27.5","190.7"
"5","Агар пищевой","кг","82","320"
"6","Аджика перечная","кг","9","16"
"7","Айва","кг","13.5","38.5"
"8","Айран кисломолочный","кг","11.7","56.4"
"9","Акула","кг","28.1","142.6"
"10","Алыча","кг","11","26.4"
"11","Альгинат Натрия (Sodium Alginat)","кг","98","0.9"
"12","Ананас","кг","15","49.4"
"13","Ананас консервированный","кг","18.1","65.40000000000001"
"14","Ангостура настойка","кг","35","0"
"15","Анчоус атлантический свежий","кг","28.5","135.3"
"16","Анчоус консервированный в масле","кг","53.6","190.8"
"17","Апельсин","кг","12.5","37.8"
"18","Арбуз","кг","11","39.8"
"19","Ароматизатор идентичный натуральному","кг","0","0"
"20","Артишоки","кг","10","29.7"
"21","Артишоки консервированные","кг","15.9","60.2"
"22","Багет для французского хот-дога, 185 мм","шт","58","236.5"
"23","Багет французский","кг","71","277.5"
"24","Баклажаны","кг","9","26.1"
"25","Балык Маслянной рыбы х/к","кг","42.6","194.1"
"26","Балык Палтуса х/к","кг","45.3","177.3"
"27","Балык осетровый вяленый (провесной)","кг","45.3","177.3"
"28","Балык осетровый холодного копчения","кг","42.8","194.1"
"29","Балык сома провесной (спинка)","кг","45.3","177.3"
"30","Балык толстолоба провесной (спинка)","кг","45.3","177.3"
"31","Бамия свежая","кг","13.4","32.2"
"32","Бананы","кг","26","90.90000000000001"
"33","Барабулька тушка с/м","кг","20.8","82.09999999999999"
"34","Барабулька филе с/м","кг","20.8","82.09999999999999"
"35","Баранина Мякоть","кг","32.3","197.6"
"36","Баранина Ребра","кг","32.3","197.6"
"37","Баранина Семенники","кг","28.8","100.9"
"38","Баранина задняя нога на кости","кг","32.3","197.6"
"39","Баранина корейка (Каре молодого барашка)","кг","38.3","257.1"
"40","Баранина легкое","кг","20.7","83.09999999999999"
"41","Баранина печень","кг","28.8","100.9"
"42","Баранина сердце","кг","21.5","85.5"
"43","Баранки простые","кг","83","309.7"
"44","Бастурма в специях","кг","31","146"
"45","Батат","кг","30.4","119.2"
"46","Батон нарезной","шт","65.90000000000001","257"
"47","Бекон с прослойками жира","кг","42.7","275.6"
"48","Бестер (или севрюга) непотрошенный","кг","28.6","163.7"
"49","Бехеровка Настойка","л","31.7","0"
"50","Бисквит (по типовой рецептуре)","кг","84.8","479.6"
"51","Бифштекс говяжий из рубленного мяса","кг","31.4","170.1"
"52","Бифштекс куриный из рубленного мяса в панировке","кг","42.2","250.8"
"53","Блины фаршированные с/м","шт","40","184.2"
"54","Бобы черные","кг","89","348.6"
"55","Брусника","кг","14","39.3"
"56","Бублик пшеничный","шт","61","261.5"
"57","Булгур Крупа","кг","91","364.6"
"58","Булочка Чили 125*125 мм","шт","60.5","262"
"59","Булочка баварская","кг","63","308.3"
"60","Булочка городская (мука пшеничная высшего сорта)","шт","67.3","260.8"
"61","Булочка для гамбургера 100 мм","шт","61.5","265"
"62","Булочка для гамбургера 110 мм","шт","62","267"
"63","Булочка для гамбургера 125 мм","шт","60","267"
"64","Булочка для гамбургера 125 мм мультизлаковая с чернилами каракатицы","шт","62","267"
"65","Булочка для гамбургера 90 мм","шт","62","267"
"66","Булочка для гамбургера с кунжутом 100 мм","шт","60","267"
"67","Булочка для гамбургеров","кг","67.09999999999999","276.6"
"68","Булочка для датского хот-дога с кунжутом","шт","60","267"
"69","Булочка пшеничная","шт","61","261.5"
"70","Булочка с солодом и кориандром п/ф","шт","69.3","308.7"
"71","Булочка сдобная","кг","76.3","335.4"
"72","Бульон сухой говяжий","кг","93.90000000000001","150"
"73","Бульон сухой грибной","кг","94.3","256.1"
"74","Бульон сухой куриный","кг","94.2","239.8"
"75","Бульон сухой овощной","кг","94.3","256.1"
"76","Бульон сухой рыбный","кг","94.2","239.8"
"77","Бумага упаковочная","шт","0","0"
"78","Валован из слоеного теста п/ф","кг","75.2","383.7"
"79","Ванильные палочки","кг","13.8","55.7"
"80","Варенье из айвы","кг","73","276.4"
"81","Варенье из вишни","кг","30.3","117.4"
"82","Варенье из грецкого ореха","кг","64","248"
"83","Варенье из груш","кг","73","285.2"
"84","Варенье из ежевики","кг","24.9","85.3"
"85","Варенье из инжира","кг","28.6","113.9"
"86","Варенье из кизила","кг","65.2","256.8"
"87","Варенье из клубники","кг","77","284.8"
"88","Варенье из малины","кг","74","287.2"
"89","Варенье из персиков","кг","68.59999999999999","259.2"
"90","Варенье из сливы","кг","76","295.2"
"91","Варенье из черешни","кг","27.3","102.6"
"92","Васаби готовый","кг","36.3","181"
"93","Васаби порошок","кг","83.40000000000001","372.8"
"94","Вафельные трубочки","кг","99","544.2"
"95","Вафли Брюссельские с сахаром МакКейн","кг","62.1","285.1"
"96","Вафли с жиросодержащими начинками","кг","99","544.2"
"97","Вафли с фруктовыми начинками","кг","88","358.4"
"98","Вермут Сухой","л","12.7","2.8"
"99","Вермут сладкий","л","29.4","63.6"
"100","Ветчина","кг","27.2","126.2"
"101","Ветчина Пармская или Хамон безкостн","кг","43","287.6"
"102","Вино белое","л","12.7","2.8"
"103","Вино игристое полусладкое","л","17.3","20.8"
"104","Вино красное крепленое","л","28.9","48.4"
"105","Вино красное сухое","л","11.6","1.2"
"106","Вино полусладкое","л","17.3","20.8"
"107","Виноград","кг","19.8","64.2"
"108","Виноградные листья маринованные","кг","0","0"
"109","Виски","л","31.7","0"
"110","Вишня","кг","15","48.9"
"111","Вишня коктейльная в сиропе","кг","63.9","242.1"
"112","Вобла каспийская вяленая","кг","65.3","235.1"
"113","Вода минеральная Нарзан","л","0.3","0"
"114","Вода минеральная газированная","л","0.7","0"
"115","Вода питьевая","л","0","0"
"116","Водка","л","31.7","0"
"117","Водоросли Вакаме","кг","88.2","150"
"118","Водоросли Комбу","кг","46.6","147.9"
"119","Водоросли Нори","кг","88.90000000000001","277.7"
"120","Водоросли Тосака сушеные","кг","12","36"
"121","Галеты из муки высшего сорта","кг","90.5","404.2"
"122","Гель зеркальный нейтральный","кг","64","256"
"123","Глазурь","кг","95.5","557"
"124","Глутомат натрия (Аджино - мото)","кг","99.90000000000001","0"
"125","Говядина Антрекот (толстый, тонкий край)","кг","24","104.6"
"126","Говядина Брезаола (сыровяленная)","кг","31","146"
"127","Говядина Кости","кг","100","425"
"128","Говядина Легкое","кг","22.5","103.1"
"129","Говядина Мраморная (Мякоть)","кг","36","226"
"130","Говядина Мраморная (Рибай, Стриплоин)","кг","36","226"
"131","Говядина Мякоть ","кг","24","104.6"
"132","Говядина Семенники","кг","28.3","104.9"
"133","Говядина Хвосты","кг","24","104.6"
"134","Говядина варено-копченая","кг","31","146"
"135","Говядина вымя","кг","0","172.5"
"136","Говядина вырезка","кг","24.1","106"
"137","Говядина мозги","кг","22.4","124.2"
"138","Говядина оковалок","кг","24","104.6"
"139","Говядина печень","кг","28.3","104.9"
"140","Говядина почки","кг","21","86"
"141","Говядина сердце","кг","22.5","95.5"
"142","Говядина стейк T-bone","кг","34.4","224.6"
"143","Голубика","кг","11.8","32"
"144","Голубцы мясные п/ф пром. производства","кг","21.1","91.09999999999999"
"145","Горбуша консервированная","кг","0","135.8"
"146","Горбуша свежая потрошенная с головой","кг","28.2","147"
"147","Горбуша х/к потрошенная с головой","кг","45.9","169.4"
"148","Горох","кг","86","294.4"
"149","Горох лущеный","кг","86","309.6"
"150","Горошек зеленый консервированный","кг","15.8","40.2"
"151","Горошек зеленый свежий или с/м","кг","20","73"
"152","Горчица Дижонская","кг","36.3","29"
"153","Горчица Фисташково-Апельсиновая","кг","36.3","29"
"154","Горчица готовая","кг","36.3","141"
"155","Горчица зернистая","кг","36.3","141"
"156","Горчичный порошок","кг","92.7","271.9"
"157","Гранат","кг","20.8","48.4"
"158","Гребешок коралловый сушеный","кг","88.90000000000001","277.7"
"159","Гребешок морской с/м","кг","19.5","76.7"
"160","Грейпфрут","кг","11","31.4"
"161","Гречневая ядрица","кг","86","328.5"
"162","Грибы Белые свежие","кг","10.6","34.5"
"163","Грибы Белые сушеные","кг","87","154"
"164","Грибы Вешенки","кг","9","26.6"
"165","Грибы Грузди маринованные","кг","7.8","20.2"
"166","Грибы Грузди свежие","кг","12","16.4"
"167","Грибы Иноки сырые","кг","11.7","34.9"
"168","Грибы Лисички маринованные","кг","9.699999999999999","18.3"
"169","Грибы Лисички свежие","кг","9","22.3"
"170","Грибы Маслята маринованные","кг","9.6","14.9"
"171","Грибы Маслята свежие","кг","16.5","17.9"
"172","Грибы Намеко (Nameko) консервированные","кг","9.300000000000001","15.7"
"173","Грибы Опята свежие","кг","10","21.6"
"174","Грибы Сморчки свежие","кг","8","16"
"175","Грибы Трюфеля черные","кг","10","24.5"
"176","Грибы Шампиньоны свежие","кг","9","26.6"
"177","Грибы Шиитаке свежие","кг","10.3","40.5"
"178","Грибы Шиитаке сушеные","кг","87","293.6"
"179","Грибы белые маринованные","кг","16.1","41.4"
